country,flag similarity,flag similarity:de,flag similarity:es,flag similarity:fr,flag similarity:nb,flag similarity:cs,flag similarity:ru,flag similarity:nl,flag similarity:sv,flag similarity:pt,flag similarity:zh,flag similarity:pl,flag similarity:it
Pitcairn Islands,,,,,,,,,,,,,
Cocos (Keeling) Islands,,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,
Montserrat,,,,,,,,,,,,,
Saint Helena,,,,,,,,,,,,,
Saint Barthélemy,,,,,,,,,,,,,
Ceuta,,,,,,,,,,,,,
Melilla,,,,,,,,,,,,,
Galápagos Islands,Sierra Leone (slightly lighter blue),Sierra Leone (etwas helleres Blau),Sierra Leona (azul ligeramente más claro),Sierra Leone (bleu légèrement plus clair),Sierra Leone (noe lysere blå),,,,,,,,
Saba,,,,,,,,,,,,,
Sint Eustatius,,,,,,,,,,,,,
Easter Island,,,,,,,,,,,,,
Bonaire,,,,,,,,,,,,,
British Indian Ocean Territory,,,,,,,,,,,,,
Mount Athos,,,,,,,,,,,,,
,,,,,,,,,,,,,
Anguilla,,,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,
British Virgin Islands,,,,,,,,,,,,,
Sint Maarten,,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,
Guernsey,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,
Jersey,,,,,,,,,,,,,
Falkland Islands,,,,,,,,,,,,,
Azores,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,
Madeira,,,,,,,,,,,,,
Corsica,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,
Sardinia,,,,,,,,,,,,,
Sicily,,,,,,,,,,,,,
Zanzibar,,,,,,,,,,,,,
Canary Islands,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,
Réunion,,,,,,,,,,,,,
Kaliningrad Oblast,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,
Bali,,,,,,,,,,,,,
